ID,Name,Age,Nationality
241464,Pau Francisco Torres,23,Spain
209989,Thomas Partey,27,Ghana
234642,Édouard Mendy,28,Senegal
235243,Matthijs de Ligt,20,Netherlands
224232,Nicolò Barella,23,Italy
238359,Marcus Wendel Valle da Silva,22,Brazil
195864,Paul Pogba,27,France
236572,Owen Wijndal,20,Netherlands
232656,Theo Hernández,22,France
230658,Arthur Henrique Ramos Oliveira Melo,23,Brazil
252042,João Pedro Junqueira de Jesus,18,Brazil
227928,Nélson Cabral Semedo,26,Portugal
250954,Chris Richards,20,United States
225100,Joe Gomez,23,England
232756,Fikayo Tomori,22,England
240060,Max Aarons,20,England
222492,Leroy Sané,24,Germany
213648,Pierre-Emile Højbjerg,24,Denmark
242602,Josha Vagnoman,19,Germany
210413,Alessio Romagnoli,25,Italy
200458,Lucas Digne,26,France
202126,Harry Kane,26,England
209658,Leon Goretzka,25,Germany
247888,Sebastiano Esposito,17,Italy
233306,Dean Henderson,23,England
248695,Wesley Fofana,19,France
205193,Karim Rekik,25,Netherlands
198329,Rodrigo Moreno Machado,29,Spain
211591,Moussa Dembélé,23,France
239301,Lisandro Martínez,22,Argentina
256781,Luca Netz,17,Germany
223848,Sergej Milinkovi?-Savi?,25,Serbia
238616,Pedro Lomba Neto,20,Portugal
235454,Malang Sarr,21,France
231410,Brahim Díaz,20,Spain
206517,Jack Grealish,24,England
205498,Luiz Frello Filho Jorge,28,Italy
232104,Daniel James,22,Wales
226380,Hee Chan Hwang,24,Korea Republic
210243,Ricardo Barbosa Pereira,26,Portugal
228618,Ferland Mendy,25,France
225782,Ainsley Maitland-Niles,22,England
188545,Robert Lewandowski,31,Poland
232411,Christopher Nkunku,22,France
240699,Nicolás De la Cruz,23,Uruguay
229984,Ben Chilwell,23,England
243952,Andriy Lunin,21,Ukraine
232432,Luka Jovi?,22,Serbia
216267,Andrew Robertson,26,Scotland
203263,Harry Maguire,27,England
237329,Joseph Willock,20,England
211320,Daniele Rugani,25,Italy
252038,Romário Manuel Silva Baró,20,Portugal
206534,Patrick Bamford,26,England
239452,Ibrahima Diallo,21,France
235569,Tanguy Ndombele,23,France
176580,Luis Suárez,33,Uruguay
246682,Karamoko Dembélé,17,England
237942,Pervis Estupiñán,22,Ecuador
226627,Takumi Minamino,25,Japan
194765,Antoine Griezmann,29,France
253465,Teden Mengi,18,England
41236,Zlatan Ibrahimovi?,38,Sweden
226110,Nicolas Pépé,25,Ivory Coast
165153,Karim Benzema,32,France
211110,Paulo Dybala,26,Argentina
240754,Youcef Atal,24,Algeria
224371,Jarrod Bowen,23,England
232119,Ça?lar Söyüncü,24,Turkey
231448,Reiss Nelson,20,England
205632,Lucas Ocampos,25,Argentina
238067,Nicolò Zaniolo,20,Italy
228509,Jeff Reine-Adélaïde,22,France
228093,Marcus Thuram,22,France
222331,Lukas Klostermann,24,Germany
241202,Patson Daka,21,Zambia
236792,Tomá Sou?ek,25,Czech Republic
226790,Wilfred Ndidi,23,Nigeria
220814,Lucas Hernández,24,France
244193,Jovane Eduardo Borges Cabral,22,Cape Verde
189509,Thiago Alcântara,29,Spain
188567,Pierre-Emerick Aubameyang,31,Gabon
226162,Emiliano Buendía,23,Argentina
239817,Boubakary Soumaré,21,France
226851,Benjamin Pavard,24,France
183277,Eden Hazard,29,Belgium
243057,Neco Williams,19,Wales
205452,Antonio Rüdiger,27,Germany
222501,Timothy Castagne,24,Belgium
252489,Marco Kana,17,Belgium
237383,Alessandro Bastoni,21,Italy
208135,Abdoulaye Doucouré,27,France
243828,Matthew Longstaff,20,England
240507,Angel Gomes,19,England
231352,Tammy Abraham,22,England
245158,Luis Javier Suárez,22,Colombia
235735,Ethan Ampadu,19,Wales
237221,Juan Foyth,22,Argentina
219693,Diego Carlos Santos Silva,27,Brazil
234742,Harvey Barnes,22,England
236496,Mattéo Guendouzi,21,France
240273,Emile Smith Rowe,19,England
208670,Hakim Ziyech,27,Morocco
247360,Leonidas Stergiou,18,Switzerland
192985,Kevin De Bruyne,29,Belgium
235889,Cengiz Ünder,22,Turkey
243657,James Garner,19,England
212194,Julian Brandt,24,Germany
246763,Ki-Jana Hoever,18,Netherlands
200647,Josip Ili?i?,32,Slovenia
236947,Jordan Torunarigha,22,Germany
228747,Oussama Idrissi,24,Morocco
231936,Ben White,22,England
245426,Marash Kumbulla,20,Albania
220697,James Maddison,23,England
203376,Virgil van Dijk,28,Netherlands
218667,Bernardo Mota Carvalho e Silva,25,Portugal
243390,Ian Poveda,20,England
236600,Japhet Tanganga,21,England
204838,Raúl Jiménez,29,Mexico
238476,Dan-Axel Zagadou,21,France
243780,Kangin Lee,19,Korea Republic
209331,Mohamed Salah,28,Egypt
244915,Mohammed Salisu,21,Ghana
229971,Fabien Centonze,24,France
220621,Saïd Benrahma,24,Algeria
230767,Renato Júnior Luz Sanches,22,Portugal
192505,Romelu Lukaku,27,Belgium
208722,Sadio Mané,28,Senegal
239367,Robin Hack,21,Germany
197445,David Alaba,28,Austria
225793,Ben Godfrey,22,England
208830,Jamie Vardy,33,England
193165,Jesús Corona,27,Mexico
232223,Konstantinos Tsimikas,24,Greece
234612,Jonathan Ikoné,22,France
233927,Lucas Tolentino Coelho de Lima,22,Brazil
243854,Mohamed Simakan,20,France
231521,Exequiel Palacios,21,Argentina
228080,Felix Passlack,22,Germany
226754,Ismaël Bennacer,22,Algeria
219809,Tiemoué Bakayoko,25,France
201417,Matt Doherty,28,Republic of Ireland
229906,Leon Bailey,22,Jamaica
203747,Héctor Bellerín Moruno,25,Spain
183711,Jordan Henderson,30,England
226766,Daniel Castelo Podence,24,Portugal
242236,Francisco Reis Ferreira,23,Portugal
209499,Fábio Henrique Tavares,26,Brazil
242118,Sebastián Córdova,23,Mexico
230621,Gianluigi Donnarumma,21,Italy
231554,James Justin,22,England
202652,Raheem Sterling,25,England
246419,Yari Verschaeren,18,Belgium
233096,Denzel Dumfries,24,Netherlands
226271,Fabián Ruiz Peña,24,Spain
238160,Merih Demiral,22,Turkey
211256,Nicolás Tagliafico,27,Argentina
245902,Troy Parrott,18,Republic of Ireland
246045,Pedro De la Vega,19,Argentina
234568,Gedson Carvalho Fernandes,21,Portugal
206058,Mattia De Sciglio,27,Italy
190717,Michail Antonio,30,England
248386,Gustavo Enrique Assunção da Silva,20,Brazil
216352,Marcelo Brozovi?,27,Croatia
220834,Marco Asensio Willemsen,24,Spain
9014,Arjen Robben,36,Netherlands
244280,Adrian Fein,21,Germany
242075,Josh Sargent,20,United States
211117,Dele Alli,24,England
209889,Raphaël Guerreiro,26,Portugal
220523,Yerry Mina,25,Colombia
205988,Luke Shaw,24,England
232999,Tyler Adams,21,United States
205427,Jorge Djaniny Tavares Semedo,28,Cape Verde
216549,Alexander Sørloth,24,Norway
241721,Rafael da Conceição Leão,21,Portugal
211688,José Luís Gayà Peña,25,Spain
253385,Federico Viñas,22,Uruguay
230666,Gabriel Fernando de Jesus,23,Brazil
258033,Omar Rekik,18,Netherlands
213331,Jonathan Tah,24,Germany
235805,Federico Chiesa,22,Italy
220710,Harry Wilson,23,Wales
241854,Perr Schuurs,20,Netherlands
236593,Calvin Stengs,21,Netherlands
257025,Konrad de la Fuente,18,United States
237238,Scott McTominay,23,Scotland
235926,Matías Zaracho,22,Argentina
222509,Daniel Ceballos Fernández,23,Spain
241084,Luis Díaz,23,Colombia
226226,Giovani Lo Celso,24,Argentina
243282,Dwight McNeil,20,England
241095,Nikola Vlai?,22,Croatia
208333,Emre Can,26,Germany
216393,Youri Tielemans,23,Belgium
245131,Giorgi Tsitaishvili,19,Ukraine
236007,Ezequiel Barco,21,Argentina
224293,Rúben Diogo da Silva Neves,23,Portugal
232080,Jack Harrison,23,England
186156,Luke Ayling,28,England
225263,Duje ?aleta-Car,23,Croatia
239970,Paulo Henrique Sampaio Filho,19,Brazil
231866,Rodrigo Hernández Cascante,24,Spain
256948,Christos Tzolis,18,Greece
229237,Manuel Akanji,24,Switzerland
234986,Panagiotis Retsos,21,Greece
208461,Marten de Roon,29,Netherlands
201942,Roberto Firmino Barbosa de Oliveira,28,Brazil
253102,Adil Aouchiche,17,France
239981,Jann-Fiete Arp,20,Germany
246459,Mohamed Daramy,18,Denmark
238227,Krépin Diatta,21,Senegal
188350,Marco Reus,31,Germany
229148,Dalbert Chagas Estevão,26,Brazil
243237,Luca Pellegrini,21,Italy
54050,Wayne Rooney,34,England
243245,Orkun Kökçü,19,Turkey
189596,Thomas Müller,30,Germany
243014,Bryan Mbeumo,20,France
224254,Cristian Pavón,24,Argentina
231292,Jamal Lewis,22,Northern Ireland
215914,N'Golo Kanté,29,France
213345,Kingsley Coman,24,France
215333,Duván Zapata,29,Colombia
251873,Yusuf Demir,17,Austria
214947,Jean-Philippe Gbamin,24,Ivory Coast
198717,Wilfried Zaha,27,Ivory Coast
241184,Héctor Junior Firpo Adamés,23,Spain
211784,Neal Maupay,23,France
252238,Alan Velasco,17,Argentina
228151,Josh Cullen,24,Republic of Ireland
225439,Rolando Mandragora,23,Italy
204311,Kurt Zouma,25,France
237819,Nicolás Domínguez,22,Argentina
227813,Oleksandr Zinchenko,23,Ukraine
221660,Victor Lindelöf,25,Sweden
225632,Oliver Burke,23,Scotland
155862,Sergio Ramos García,34,Spain
236401,Noussair Mazraoui,22,Morocco
221743,Hélder Wander Sousa Azevedo Costa,26,Portugal
233866,Odsonne Edouard,22,France
205175,Arkadiusz Milik,26,Poland
235794,Eberechi Eze,22,England
238041,Tyrell Malacia,20,Netherlands
239837,Alexis Mac Allister,21,Argentina
244206,Nehuén Pérez,20,Argentina
200145,Carlos Henrique Venancio Casimiro,28,Brazil
214092,Alexey Miranchuk,24,Russia
236403,Evan Ndicka,20,France
252935,Leonardo Fernández,21,Uruguay
227174,Matty Cash,22,England
237560,Moussa Djenepo,22,Mali
243055,Rafael Euclides Soares Camacho,20,Portugal
212190,Niklas Süle,24,Germany
245940,Silas Wamangituka,20,DR Congo
242516,Cody Gakpo,21,Netherlands
224949,Javairô Dilrosun,22,Netherlands
220182,Jason Denayer,25,Belgium
254482,Ricky-Jade Jones,17,England
235172,Rúben Nascimento Vinagre,21,Portugal
220440,Clément Lenglet,25,France
208128,Hakan Çalhano?lu,26,Turkey
239592,José Juan Macías,20,Mexico
244634,Simon Sohm,19,Switzerland
247181,Gonzalo Plata,19,Ecuador
228708,Lucas Martínez Quarta,24,Argentina
258490,Chadi Riad,17,Morocco
254704,Kazuyoshi Miura,53,Japan
227535,Rodrigo Bentancur,23,Uruguay
190813,Stephan El Shaarawy,27,Italy
221992,Hirving Lozano,24,Mexico
255862,Santiago Rodríguez,20,Uruguay
234570,João Pedro Neves Filipe,21,Portugal
241496,Timothy Weah,20,United States
208250,Anastasios Bakasetas,27,Greece
212602,Diego Javier Llorente Ríos,26,Spain
220651,José Ángel Esmoris Tasende,23,Spain
208920,Nathan Aké,25,Netherlands
221697,Ollie Watkins,24,England
164240,Thiago Emiliano da Silva,35,Brazil
225748,Todd Cantwell,22,England
224422,Jérémie Boga,23,Ivory Coast
228815,Tyler Roberts,21,Wales
225508,Eric Bailly,26,Ivory Coast
246172,Samuel Chukwueze,21,Nigeria
170368,Erik Lamela,28,Argentina
241487,Jesus Ferreira,19,United States
208421,Saúl Ñíguez Esclápez,25,Spain
226753,André Onana,24,Cameroon
246191,Julián Álvarez,20,Argentina
234060,Yangel Herrera,22,Venezuela
234112,Domilson Cordeiro dos Santos,21,Brazil
220093,Hans Hateboer,26,Netherlands
239368,Mitchel Bakker,20,Netherlands
240716,Mathías Olivera,22,Uruguay
210411,Otávio Edmilson da Silva Monteiro,25,Brazil
181872,Arturo Vidal,33,Chile
242964,Anthony Gordon,19,England
225850,Presnel Kimpembe,24,France
253163,Ronald Araujo,21,Uruguay
230899,Ademola Lookman,22,England
234943,Florian Neuhaus,23,Germany
230043,Faitout Maouassa,21,France
211575,André Filipe Tavares Gomes,26,Portugal
229348,Antonee Robinson,22,United States
201400,Rafael Alcântara,27,Brazil
246159,Ethan Laird,18,England
230147,Falaye Sacko,25,Mali
247641,Mateus Tetê,20,Brazil
215798,Maxwel Cornet,23,Ivory Coast
223885,Alexander Nübel,23,Germany
204884,Benjamin Mendy,25,France
181291,Georginio Wijnaldum,29,Netherlands
206585,Kepa Arrizabalaga,25,Spain
176635,Mesut Özil,31,Germany
259031,Liam Delap,17,England
212218,Aymeric Laporte,26,France
190460,Christian Eriksen,28,Denmark
203483,Davy Klaassen,27,Netherlands
202335,Eric Dier,26,England
230938,Franck Yannick Kessié,23,Ivory Coast
224263,Jonjoe Kenny,23,England
224411,Gonçalo Manuel Ganchinho Guedes,23,Portugal
246113,Adrià Giner Pedrosa,22,Spain
226456,Pablo Fornals Malla,24,Spain
201535,Raphaël Varane,27,France
213666,Ruben Loftus-Cheek,24,England
232270,Timothy Fosu-Mensah,22,Netherlands
216594,Nabil Fekir,26,France
257399,Wahid Faghir,16,Denmark
243350,Felix Agu,20,Germany
223959,Lucas Torreira,24,Uruguay
238194,Nahuel Bustos,21,Argentina
205600,Samuel Umtiti,26,France
220793,Davinson Sánchez,24,Colombia
192955,Mateusz Klich,30,Poland
237161,Sean Longstaff,22,England
233113,Carles Aleñá Castillo,22,Spain
231436,Grady Diangana,22,England
239207,Maximiliano Gómez,23,Uruguay
240679,Teun Koopmeiners,22,Netherlands
228736,Wuilker Faríñez,22,Venezuela
215330,Joaquín Correa,25,Argentina
242664,Alexis Saelemaekers,21,Belgium
228635,Borja Mayoral Moya,23,Spain
232938,Takehiro Tomiyasu,21,Japan
242429,Liberato Cacace,19,New Zealand
241707,Pape Gueye,21,France
225193,Mikel Merino Zazón,24,Spain
225116,Alex Meret,23,Italy
192774,Kostas Manolas,29,Greece
228881,Davide Calabria,23,Italy
253167,Félix Alexandre A. Sanches Correia,19,Portugal
235173,Ibrahim Sangaré,22,Ivory Coast
216201,Iñaki Williams Arthuer,26,Spain
199823,José Gómez Campaña,27,Spain
180403,Willian Borges da Silva,31,Brazil
239335,Óscar Rodríguez Arnaiz,22,Spain
209297,Frederico de Paula Santos,27,Brazil
216460,José María Giménez,25,Uruguay
210514,João Pedro Cavaco Cancelo,26,Portugal
246666,Noah Katterbach,19,Germany
235844,Edson Álvarez,22,Mexico
244253,Uro Ra?i?,22,Serbia
231485,Axel Tuanzebe,22,England
244369,Viktor Tsygankov,22,Ukraine
253072,Darwin Núñez,21,Uruguay
204935,Jordan Pickford,26,England
259022,Kerim Calhanoglu,17,Germany
240690,Nicolás González,22,Argentina
216354,Andrej Kramari?,29,Croatia
201024,Kalidou Koulibaly,29,Senegal
207865,Marcos Aoás Corrêa,26,Brazil
240683,Ludovit Reis,20,Netherlands
242752,Nathan Ferguson,19,England
212831,Alisson Ramses Becker,27,Brazil
167495,Manuel Neuer,34,Germany
192387,Ciro Immobile,30,Italy
146536,Jesús Navas González,34,Spain
218066,Mbwana Ally Samatta,27,Tanzania
177003,Luka Modri?,34,Croatia
224334,Marcos Acuña,28,Argentina
183900,Diego Perotti,31,Argentina
239025,Ibrahima Niane,21,Senegal
198706,Luis Alberto Romero Alconchel,27,Spain
215441,Serhou Guirassy,24,France
226229,Thilo Kehrer,23,Germany
207421,Leandro Trossard,25,Belgium
188377,Kyle Walker,30,England
182493,Diego Godín,34,Uruguay
204923,Marcel Sabitzer,26,Austria
153079,Sergio Agüero,32,Argentina
247377,Marcos Antonio Silva Santos,20,Brazil
195859,Danny Ings,27,England
228414,Matheus Fellipe Costa Pereira,24,Brazil
200949,Lucas Rodrigues M. Silva,27,Brazil
255472,Pedro Victor Delmino da Silva,22,Brazil
229857,Stefano Sensi,24,Italy
241497,Colin Dagba,21,France
233097,Rick van Drongelen,21,Netherlands
202166,Julian Draxler,26,Germany
242997,Linton Maina,21,Germany
213565,Thomas Lemar,24,France
192448,Marc-André ter Stegen,28,Germany
233934,Aaron Ramsdale,22,England
231416,Dodi Lukébakio,22,Belgium
238274,Florinel Coman,22,Romania
234035,Álvaro Odriozola Arzalluz,24,Spain
224221,Joachim Andersen,24,Denmark
182521,Toni Kroos,30,Germany
203551,Alessandro Florenzi,29,Italy
204970,Florian Thauvin,27,France
167664,Gonzalo Higuaín,32,Argentina
214394,Wilmar Barrios,26,Colombia
206006,Ezgjan Alioski,28,North Macedonia
200389,Jan Oblak,27,Slovenia
237629,Arne Maier,21,Germany
201455,Geoffrey Kondogbia,27,Central African Republic
244591,Jayden Bogle,19,England
216643,Léo Dubois,25,France
212523,Anderson Souza Conceição,26,Brazil
220018,Ante Rebi?,26,Croatia
232099,Marko Gruji?,24,Serbia
204485,Riyad Mahrez,29,Algeria
251217,Jean Lucas de Souza Oliveira,22,Brazil
236499,Douglas Luiz Soares de Paulo,22,Brazil
232097,Amine Harit,23,Morocco
211990,Odisseas Vlachodimos,26,Greece
216547,Rafael A. Ferreira Silva,27,Portugal
214997,Ángel Correa,25,Argentina
193301,Alexandre Lacazette,29,France
239978,Dennis Man,21,Romania
202371,Thomas Meunier,28,Belgium
202811,Emiliano Martínez,27,Argentina
237239,Enis Bardhi,24,North Macedonia
210625,Kevin Mbabu,25,Switzerland
193080,David De Gea Quintana,29,Spain
244288,Adam Idah,19,Republic of Ireland
208596,Andrea Belotti,26,Italy
227055,Gelson Dany Batalha Martins,25,Portugal
204963,Daniel Carvajal Ramos,28,Spain
227678,Ezri Konsa,22,England
222400,Harry Winks,24,England
237000,Reggie Cannon,22,United States
222357,Breel Embolo,23,Switzerland
196978,Callum Wilson,28,England
205069,Juan Bernat Velasco,27,Spain
237823,Hiroki Abe,21,Japan
178518,Radja Nainggolan,32,Belgium
242453,Sepp van den Berg,18,Netherlands
204399,Eran Zahavi,32,Israel
197781,Francisco Román Alarcón Suárez,28,Spain
255611,Daniel Maldini,18,Italy
227536,Moussa Marega,29,Mali
230869,Unai Simón Mendibil,23,Spain
223113,Krzysztof Pi?tek,25,Poland
210665,Marcel Halstenberg,28,Germany
203570,Stuart Dallas,29,Northern Ireland
226568,Ianis Hagi,21,Romania
246053,Joe Gelhardt,18,England
199556,Marco Verratti,27,Italy
199189,Ross Barkley,26,England
240753,Amine Gouiri,20,France
204077,M'Baye Niang,25,Senegal
241042,Oliver Skipp,19,England
245762,Ahmed Kutucu,20,Turkey
256790,Jamal Musiala,17,England
199564,Sergio Roberto Carnicer,28,Spain
213135,Divock Origi,25,Belgium
242280,Lewis Ferguson,20,Scotland
228251,Lorenzo Pellegrini,24,Italy
219683,Corentin Tolisso,25,France
222404,Mathias Normann,24,Norway
220883,Rafael Santos Borré,24,Colombia
231691,Alban Lafont,21,France
220196,David Brooks,22,Wales
242187,Christoph Baumgartner,20,Austria
212616,Rodrigo Javier De Paul,26,Argentina
205693,Sébastien Haller,26,France
228687,Kasper Dolberg,22,Denmark
212151,Thomas Strakosha,25,Albania
223689,Wout Weghorst,27,Netherlands
234777,Zack Steffen,25,United States
183898,Ángel Di María,32,Argentina
246672,Ander Barrenetxea,18,Spain
244267,Antonio Marin,19,Croatia
232730,Daichi Kamada,23,Japan
246791,Manor Solomon,20,Israel
201399,Mauro Icardi,27,Argentina
237715,Patrick Cutrone,22,Italy
242578,Benoît Badiashile,19,France
242573,Déiber Caicedo,20,Colombia
256903,Gonçalo Matias Ramos,19,Portugal
207494,Jesse Lingard,27,England
255253,Vítor Machado Ferreira,20,Portugal
220085,Luca Waldschmidt,24,Germany
242841,Arvin Appiah,19,England
234711,Josip Brekalo,22,Croatia
213655,Alex Iwobi,24,Nigeria
199503,Granit Xhaka,27,Switzerland
225293,Habib Diallo,25,Senegal
212501,Leander Dendoncker,25,Belgium
193290,Martin Braithwaite,29,Denmark
225024,Mason Holgate,23,England
207410,Mateo Kova?i?,26,Croatia
230347,Welington Kauê Dano Nascimento,20,Brazil
248808,Aaron Hickey,18,Scotland
255009,Kenneth Taylor,18,Netherlands
186345,Kieran Trippier,29,England
235973,Sebastian Szyma?ski,21,Poland
237995,Diego Lainez,20,Mexico
234045,Henry Onyekuru,23,Nigeria
207877,Josef Martínez,27,Venezuela
235374,Manuel Lazzari,26,Italy
204259,Santiago Arias,28,Colombia
231633,Issa Diop,23,France
233500,Luis Sinisterra,21,Colombia
231969,Ruslan Malinovskyi,27,Ukraine
236480,Yves Bissouma,23,Mali
223334,Joelinton Apolinário de Lira,23,Brazil
222077,Manuel Locatelli,22,Italy
192119,Thibaut Courtois,28,Belgium
199451,Wissam Ben Yedder,29,France
189511,Sergio Busquets Burgos,31,Spain
223874,Valentin Rongier,25,France
248149,Micha? Karbownik,19,Poland
206654,Pablo Marí Villar,26,Spain
203486,Thorgan Hazard,27,Belgium
221841,Adam Armstrong,23,England
235266,Christian Früchtl,20,Germany
205070,Cristian Portugues Manzanera,28,Spain
241907,Diego Rossi,22,Uruguay
229668,Mario Hermoso Canseco,25,Spain
242835,Leonardo Balerdi,21,Argentina
236506,Marcos Senesi,23,Argentina
223273,Mario Paali?,25,Croatia
226168,Maximilian Eggestein,23,Germany
241103,Zinho Vanheusden,20,Belgium
247497,Armel Bella-Kotchap,18,Germany
211515,Pierluigi Gollini,25,Italy
224520,Ryan Kent,23,England
241811,Sergio Gómez Martín,19,Spain
247106,Alexander Bernabei,19,Argentina
253444,Arnaud Kalimuendo,18,France
